,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,updated_github_id,docs_url,ignore
123,Automatminer,,general-tool,https://github.com/hackingmaterials/automatminer,An automatic engine for predicting materials properties.,17,False,https://github.com/hackingmaterials/automatminer/blob/main/LICENSE,['automl'],hackingmaterials/automatminer,https://github.com/hackingmaterials/automatminer,2018-05-10 18:27:08,2023-11-12 10:09:39.000000,2022-01-06 19:39:49,1666.0,,50.0,11.0,233.0,41.0,139.0,154.0,2020-07-28 02:19:07.000,1.0.3.20200727,17.0,13.0,automatminer,,10.0,10.0,https://pypi.org/project/automatminer,2020-07-28 02:23:45.000,,375.0,375.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
124,MatBench,,community,https://github.com/materialsproject/matbench,Matbench: Benchmarks for materials science property prediction.,17,False,MIT,"['datasets', 'benchmarking', 'model-repository']",materialsproject/matbench,https://github.com/materialsproject/matbench,2021-02-24 03:58:42,2024-08-20 17:26:52.000000,2024-01-20 09:41:36,772.0,,48.0,6.0,300.0,39.0,26.0,148.0,2022-07-27 04:40:26.000,0.6,5.0,25.0,matbench,,25.0,23.0,https://pypi.org/project/matbench,2022-07-27 04:44:21.961,2.0,411.0,411.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
125,Open Databases Integration for Materials Design (OPTIMADE),,datasets,https://github.com/Materials-Consortia/OPTIMADE,Specification of a common REST API for access to materials databases.,17,True,CC-BY-4.0,,Materials-Consortia/OPTIMADE,https://github.com/Materials-Consortia/OPTIMADE,2018-01-08 23:32:29,2025-03-07 16:56:29.000000,2025-03-07 16:56:10,1826.0,5.0,35.0,21.0,300.0,68.0,171.0,86.0,2024-06-10 16:32:29.000,1.2.0,9.0,21.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
126,SpheriCart,,math,https://github.com/lab-cosmo/sphericart,Multi-language library for the calculation of spherical harmonics in Cartesian coordinates.,17,True,MIT,,lab-cosmo/sphericart,https://github.com/lab-cosmo/sphericart,2023-02-04 15:15:25,2025-04-09 23:53:53.000000,2025-04-03 21:09:11,414.0,13.0,14.0,5.0,138.0,21.0,23.0,83.0,2025-04-06 20:39:47.000,julia-v0.1.3,15.0,11.0,sphericart,,,,https://pypi.org/project/sphericart,2025-03-22 22:04:43.000,,1942.0,1953.0,,,,2.0,,,,,,278.0,,,,,-1.0,,,,,,,,,,
127,Graph-PES,,ml-iap,https://github.com/jla-gardner/graph-pes,train and use graph-based ML models of potential energy surfaces.,17,True,MIT,"['rep-learn', 'uip', 'md', 'pretrained']",jla-gardner/graph-pes,https://github.com/jla-gardner/graph-pes,2023-10-09 07:18:23,2025-04-10 17:44:39.000000,2025-04-10 17:42:23,311.0,60.0,4.0,1.0,119.0,4.0,12.0,83.0,2025-04-10 17:44:39.000,0.0.34,34.0,3.0,graph-pes,,2.0,2.0,https://pypi.org/project/graph-pes,2025-04-10 17:44:39.000,,1623.0,1623.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,
128,mp-pyrho,,data-structures,https://github.com/materialsproject/pyrho,Tools for re-griding volumetric quantum chemistry data for machine-learning purposes.,17,True,https://github.com/materialsproject/pyrho,['ml-dft'],materialsproject/pyrho,https://github.com/materialsproject/pyrho,2020-05-25 22:44:02,2025-04-07 15:03:28.000000,2024-10-22 22:19:21,292.0,,9.0,8.0,124.0,2.0,3.0,40.0,2024-10-22 22:21:31.000,0.4.5,29.0,10.0,mp-pyrho,,33.0,28.0,https://pypi.org/project/mp-pyrho,2024-10-22 22:21:31.000,5.0,14008.0,14008.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
129,Graph-based Deep Learning Literature,,community,https://github.com/naganandy/graph-based-deep-learning-literature,links to conference publications in graph-based deep learning.,16,True,MIT,"['general-ml', 'rep-learn']",naganandy/graph-based-deep-learning-literature,https://github.com/naganandy/graph-based-deep-learning-literature,2017-12-01 14:48:35,2024-12-12 11:13:28.000000,2024-12-12 11:13:24,7745.0,,774.0,249.0,21.0,1.0,14.0,4903.0,,,,12.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
130,ChemCrow,,language-models,https://github.com/ur-whitelab/chemcrow-public,Open source package for the accurate solution of reasoning-intensive chemical tasks.,16,True,MIT,['ai-agent'],ur-whitelab/chemcrow-public,https://github.com/ur-whitelab/chemcrow-public,2023-06-04 15:59:05,2024-12-19 17:47:04.000000,2024-12-19 17:47:03,121.0,,105.0,18.0,30.0,9.0,14.0,732.0,2024-03-27 04:30:13.000,0.3.24,27.0,3.0,chemcrow,,10.0,10.0,https://pypi.org/project/chemcrow,2024-03-27 04:30:13.000,,738.0,738.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
131,Neural Force Field,,ml-iap,https://github.com/learningmatter-mit/NeuralForceField,Neural Network Force Field based on PyTorch.,16,True,MIT,['pretrained'],learningmatter-mit/NeuralForceField,https://github.com/learningmatter-mit/NeuralForceField,2020-10-04 15:17:41,2025-02-21 02:44:48.000000,2025-02-06 19:48:02,3186.0,24.0,54.0,6.0,10.0,4.0,18.0,268.0,2024-05-29 21:15:00.000,1.0.0,1.0,43.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
132,n2p2,,ml-iap,https://github.com/CompPhysVienna/n2p2,n2p2 - A Neural Network Potential Package.,16,True,GPL-3.0,['lang-cpp'],CompPhysVienna/n2p2,https://github.com/CompPhysVienna/n2p2,2018-07-25 12:29:17,2025-03-17 11:32:05.000000,2025-03-17 11:03:50,542.0,13.0,80.0,12.0,54.0,68.0,86.0,235.0,2024-11-22 23:47:00.000,2.3.0,12.0,13.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
133,TorchSim,,md,https://github.com/Radical-AI/torch-sim,"Torch-native, batchable, atomistic simulation.",16,True,MIT,"['htc', 'uip', 'ml-iap', 'structure-optimization']",Radical-AI/torch-sim,https://github.com/Radical-AI/torch-sim,2025-03-03 15:13:57,2025-04-10 18:25:34.000000,2025-04-08 15:05:01,82.0,82.0,17.0,4.0,80.0,22.0,21.0,172.0,2025-04-03 15:11:59.000,0.1.0,1.0,6.0,torch-sim-atomistic,,,,https://pypi.org/project/torch-sim-atomistic,2025-04-03 02:08:25.000,,178.0,178.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
134,OpenBioML ChemNLP,,language-models,https://github.com/OpenBioML/chemnlp,ChemNLP project.,16,True,MIT,['datasets'],OpenBioML/chemnlp,https://github.com/OpenBioML/chemnlp,2023-02-13 16:20:23,2025-04-07 17:17:19.000000,2024-08-19 19:00:21,372.0,,45.0,3.0,285.0,112.0,140.0,159.0,2023-08-07 12:49:57.000,2023.7.1,6.0,27.0,chemnlp,,1.0,,https://pypi.org/project/chemnlp,2023-08-07 12:49:57.000,1.0,,,,,,2.0,,,,,,,,,,,-2.0,,,,,,,,,,
135,sGDML,,ml-iap,https://github.com/stefanch/sGDML,sGDML - Reference implementation of the Symmetric Gradient Domain Machine Learning model.,16,False,MIT,,stefanch/sGDML,https://github.com/stefanch/sGDML,2018-07-11 15:20:30,2023-08-31 12:59:32.000000,2023-08-31 12:57:53,205.0,,37.0,8.0,12.0,11.0,11.0,147.0,2023-08-31 12:58:49.000,1.0.2,21.0,8.0,sgdml,,11.0,10.0,https://pypi.org/project/sgdml,2023-08-31 12:59:32.000,1.0,682.0,682.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
136,Elementari,,visualization,https://github.com/janosh/elementari,"Interactive browser visualizations for materials science: periodic tables, 3d crystal structures, Bohr atoms, nuclei,..",16,True,MIT,['lang-js'],janosh/elementari,https://github.com/janosh/elementari,2022-06-01 15:29:36,2025-04-07 16:37:41.000000,2025-04-05 16:14:17,194.0,13.0,15.0,5.0,49.0,2.0,5.0,145.0,2025-04-05 16:14:41.783,0.3.3,19.0,2.0,,,6.0,4.0,,,,,710.0,,,,3.0,,,,,,,,,,,,elementari,https://www.npmjs.com/package/elementari,2025-04-05 16:14:41.783,2.0,710.0,,,,,
137,XenonPy,,general-tool,https://github.com/yoshida-lab/XenonPy,XenonPy is a Python Software for Materials Informatics.,16,True,BSD-3-Clause,,yoshida-lab/XenonPy,https://github.com/yoshida-lab/XenonPy,2018-01-17 10:13:29,2024-07-15 21:14:48.000000,2024-04-21 06:58:38,693.0,,60.0,9.0,184.0,21.0,66.0,140.0,2023-05-21 15:54:32.000,0.6.8,54.0,10.0,xenonpy,,1.0,,https://pypi.org/project/xenonpy,2022-10-31 15:40:18.355,1.0,1322.0,1339.0,,,,3.0,,,,,,1501.0,,,,,,,,,,,,,,,
138,CatLearn,,rep-eng,https://github.com/SUNCAT-Center/CatLearn,,16,False,GPL-3.0,['surface-science'],SUNCAT-Center/CatLearn,https://github.com/SUNCAT-Center/CatLearn,2018-04-20 04:16:14,2024-06-28 07:53:45.000000,2023-02-07 09:31:25,1960.0,,57.0,18.0,80.0,10.0,17.0,109.0,2020-03-27 09:27:26.000,0.6.2,27.0,22.0,catlearn,,7.0,6.0,https://pypi.org/project/catlearn,2020-03-27 09:27:26.000,1.0,461.0,461.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
139,MODNet,,rep-eng,https://github.com/ppdebreuck/modnet,MODNet: a framework for machine learning materials properties.,16,True,MIT,"['pretrained', 'small-data', 'transfer-learning']",ppdebreuck/modnet,https://github.com/ppdebreuck/modnet,2020-03-13 07:39:21,2025-03-25 20:44:22.000000,2025-03-25 20:44:21,290.0,2.0,34.0,6.0,195.0,32.0,31.0,91.0,2025-03-19 14:30:12.000,0.4.5,22.0,11.0,,,11.0,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
140,load-atoms,,datasets,https://github.com/jla-gardner/load-atoms,download and manipulate atomistic datasets.,16,True,MIT,['data-structures'],jla-gardner/load-atoms,https://github.com/jla-gardner/load-atoms,2022-11-21 21:59:15,2024-12-16 09:39:30.000000,2024-12-16 09:39:30,295.0,,4.0,1.0,45.0,2.0,30.0,44.0,2024-12-13 14:43:20.000,0.3.9,46.0,4.0,load-atoms,,8.0,6.0,https://pypi.org/project/load-atoms,2024-12-13 14:43:20.000,2.0,2633.0,2633.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
141,ElementEmbeddings,,rep-eng,https://github.com/WMD-group/ElementEmbeddings,Python package to interact with high-dimensional representations of the chemical elements.,16,True,MIT,"['xai', 'unsupervised', 'visualization']",WMD-group/ElementEmbeddings,https://github.com/WMD-group/ElementEmbeddings,2022-05-17 14:25:41,2025-04-07 18:45:48.000000,2025-01-09 16:34:10,634.0,,4.0,4.0,159.0,5.0,17.0,41.0,2024-09-18 13:09:00.000,0.6.1,10.0,6.0,ElementEmbeddings,conda-forge/elementembeddings,5.0,5.0,https://pypi.org/project/ElementEmbeddings,2024-09-18 13:09:44.000,,3246.0,3427.0,https://anaconda.org/conda-forge/elementembeddings,2025-03-25 16:03:00.768,1452.0,1.0,,,,,,,,,,,,,,,,,,,,,
142,pySIPFENN,,rep-eng,https://github.com/PhasesResearchLab/pySIPFENN,Python python toolset for Structure-Informed Property and Feature Engineering with Neural Networks. It offers unique..,16,True,LGPL-3.0,"['material-defect', 'disordered-materials', 'pretrained', 'transfer-learning']",PhasesResearchLab/pySIPFENN,https://github.com/PhasesResearchLab/pySIPFENN,2022-10-14 19:13:09,2025-03-25 16:02:28.160000,2025-03-06 17:03:23,523.0,10.0,4.0,4.0,17.0,4.0,2.0,23.0,2025-03-06 17:15:11.000,0.16.3,17.0,4.0,pysipfenn,conda-forge/pysipfenn,7.0,7.0,https://pypi.org/project/pysipfenn,2025-03-06 17:16:12.000,,664.0,1203.0,https://anaconda.org/conda-forge/pysipfenn,2025-03-25 16:02:28.160,13399.0,1.0,,,,,,107.0,,,,,,,,,,,,,,,
143,Graphormer,,rep-learn,https://github.com/microsoft/Graphormer,Graphormer is a general-purpose deep learning backbone for molecular modeling.,15,True,MIT,"['transformer', 'pretrained']",microsoft/Graphormer,https://github.com/microsoft/Graphormer,2021-05-27 05:31:18,2024-06-07 17:01:35.000000,2024-05-28 06:22:34,77.0,,338.0,29.0,46.0,92.0,68.0,2248.0,2024-04-03 08:23:10.000,dig-v1.0,2.0,14.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
144,FermiNet,,ml-wft,https://github.com/google-deepmind/ferminet,An implementation of the Fermionic Neural Network for ab-initio electronic structure calculations.,15,True,Apache-2.0,['transformer'],google-deepmind/ferminet,https://github.com/google-deepmind/ferminet,2020-10-06 12:21:06,2025-03-17 17:29:10.000000,2025-03-17 17:28:49,253.0,3.0,144.0,33.0,32.0,2.0,63.0,763.0,,,,21.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
145,AI for Science Resources,,community,https://github.com/divelab/AIRS/blob/main/Overview/resources.md,"List of resources for AI4Science research, including learning resources.",15,True,GPL-3.0 license,,divelab/AIRS,https://github.com/divelab/AIRS,2023-02-01 17:05:09,2025-03-20 16:19:52.000000,2025-03-20 16:19:52,496.0,44.0,66.0,17.0,7.0,2.0,22.0,603.0,,,,32.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
146,QH9,,datasets,https://github.com/divelab/AIRS/tree/main/OpenDFT/QHBench/QH9,A Quantum Hamiltonian Prediction Benchmark.,15,True,CC-BY-NC-SA-4.0,['ml-dft'],divelab/AIRS,https://github.com/divelab/AIRS,2023-02-01 17:05:09,2025-03-20 16:19:52.000000,2025-03-20 16:19:52,496.0,44.0,66.0,17.0,7.0,2.0,22.0,603.0,,,,32.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
147,Artificial Intelligence for Science (AIRS),,general-tool,https://github.com/divelab/AIRS,Artificial Intelligence Research for Science (AIRS).,15,True,GPL-3.0 license,"['rep-learn', 'generative', 'ml-iap', 'md', 'ml-dft', 'ml-wft', 'biomolecules']",divelab/AIRS,https://github.com/divelab/AIRS,2023-02-01 17:05:09,2025-03-20 16:19:52.000000,2025-03-20 16:19:52,496.0,44.0,66.0,17.0,7.0,2.0,22.0,603.0,,,,32.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
148,QHNet,,ml-dft,https://github.com/divelab/AIRS/tree/main/OpenDFT/QHNet,Artificial Intelligence Research for Science (AIRS).,15,True,GPL-3.0,['rep-learn'],divelab/AIRS,https://github.com/divelab/AIRS,2023-02-01 17:05:09,2025-03-20 16:19:52.000000,2025-03-20 16:19:52,496.0,44.0,66.0,17.0,7.0,2.0,22.0,603.0,,,,32.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
149,GT4SD - Generative Toolkit for Scientific Discovery,,community,https://huggingface.co/GT4SD,Gradio apps of generative models in GT4SD.,15,True,MIT,"['generative', 'pretrained', 'drug-discovery', 'model-repository']",GT4SD/gt4sd-core,https://github.com/GT4SD/gt4sd-core,2022-02-11 19:06:58,2025-02-19 13:51:09.000000,2025-02-19 13:33:29,301.0,3.0,73.0,16.0,152.0,14.0,102.0,349.0,2024-06-13 15:18:45.000,1.4.1,57.0,20.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
150,MoLeR,,generative,https://github.com/microsoft/molecule-generation,Implementation of MoLeR: a generative model of molecular graphs which supports scaffold-constrained generation.,15,False,MIT,,microsoft/molecule-generation,https://github.com/microsoft/molecule-generation,2022-02-17 19:16:29,2024-01-05 14:31:05.000000,2024-01-03 14:28:02,67.0,,41.0,11.0,37.0,6.0,35.0,294.0,2024-01-05 14:31:05.000,0.4.1,5.0,5.0,molecule-generation,,1.0,,https://pypi.org/project/molecule-generation,2024-01-05 14:31:05.000,1.0,323.0,323.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
151,ChemML,,rep-eng,https://github.com/hachmannlab/chemml,ChemML is a machine learning and informatics program suite for the chemical and materials sciences.,15,True,BSD-3-Clause,"['cheminformatics', 'active-learning', 'workflows']",hachmannlab/chemml,https://github.com/hachmannlab/chemml,2017-12-07 04:48:18,2025-01-20 16:19:56.000000,2025-01-20 16:19:56,884.0,3.0,32.0,12.0,20.0,7.0,6.0,164.0,2021-11-11 20:57:19.000,1.0,17.0,15.0,chemml,,9.0,7.0,https://pypi.org/project/chemml,2023-10-08 16:07:41.000,2.0,825.0,825.0,,,,2.0,,,,,,14.0,,,,,,,,,,,,,,,
152,Psiflow,,md,https://github.com/molmod/psiflow,scalable molecular simulation.,15,True,MIT,"['ml-iap', 'active-learning', 'sampling']",molmod/psiflow,https://github.com/molmod/psiflow,2022-11-18 09:57:59,2025-04-08 14:53:41.000000,2025-04-08 14:52:20,906.0,33.0,11.0,4.0,19.0,9.0,43.0,131.0,2024-12-23 10:02:20.000,4.0.0,10.0,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
153,OpenMM-ML,,md,https://github.com/openmm/openmm-ml,High level API for using machine learning models in OpenMM simulations.,15,True,MIT,['ml-iap'],openmm/openmm-ml,https://github.com/openmm/openmm-ml,2021-02-10 20:55:25,2025-03-25 16:02:14.141000,2025-03-12 21:26:15,49.0,3.0,21.0,14.0,35.0,23.0,36.0,101.0,2025-03-12 21:28:35.000,1.3,6.0,5.0,,conda-forge/openmm-ml,,,,,,,234.0,https://anaconda.org/conda-forge/openmm-ml,2025-03-25 16:02:14.141,7494.0,3.0,,,,,,,,,,,,,,,,,,,,,
154,PyXtalFF,,ml-iap,https://github.com/MaterSim/PyXtal_FF,Machine Learning Interatomic Potential Predictions.,15,False,MIT,,MaterSim/PyXtal_FF,https://github.com/MaterSim/PyXtal_FF,2019-01-08 08:43:35,2024-02-15 16:12:06.000000,2024-01-07 14:27:45,561.0,,23.0,8.0,4.0,12.0,51.0,90.0,2023-06-09 17:17:24.000,0.2.3,19.0,9.0,pyxtal_ff,,,,https://pypi.org/project/pyxtal_ff,2022-12-21 20:21:00.409,,312.0,312.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
155,MLIPX - Machine-Learned Interatomic Potential eXploration,,ml-iap,https://github.com/basf/mlipx,Machine-Learned Interatomic Potential eXploration (mlipx) is designed at BASF for evaluating machine-learned..,15,True,MIT,"['benchmarking', 'visualization', 'workflows']",basf/mlipx,https://github.com/basf/mlipx,2024-10-18 08:48:26,2025-04-09 20:46:06.000000,2025-04-07 16:59:54,72.0,16.0,6.0,5.0,60.0,3.0,5.0,77.0,2024-12-12 14:13:33.000,0.1.3,4.0,4.0,mlipx,,,,https://pypi.org/project/mlipx,2024-12-12 14:13:33.000,,205.0,205.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
156,DeePTB,,ml-esm,https://github.com/deepmodeling/DeePTB,DeePTB: A deep learning package for tight-binding approach with ab initio accuracy.,15,True,LGPL-3.0,['ml-dft'],deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,2023-07-11 03:19:42,2025-04-09 02:24:42.000000,2025-04-07 06:33:32,772.0,16.0,17.0,3.0,192.0,15.0,30.0,72.0,2024-08-15 03:03:13.000,2.1.1,11.0,11.0,dptb,,2.0,2.0,https://pypi.org/project/dptb,2024-08-15 03:03:13.000,,319.0,319.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
157,Featomic,,rep-eng,https://github.com/metatensor/featomic,Computing representations for atomistic machine learning.,15,True,BSD-3-Clause,"['lang-rust', 'lang-cpp']",metatensor/featomic,https://github.com/metatensor/featomic,2020-09-24 14:28:34,2025-02-25 11:44:56.000000,2025-02-25 11:39:32,650.0,14.0,15.0,5.0,311.0,43.0,41.0,69.0,2025-02-21 11:18:39.000,featomic-v0.6.1,7.0,16.0,,,,,,,,,28.0,,,,2.0,,,,,,112.0,,,,,,,,,,,,,,,
158,AtomGPT,,language-models,https://github.com/usnistgov/atomgpt,AtomGPT & DiffractGPT : Generative Pretrained Transformer Models for Forward and Inverse Materials Design..,15,True,https://github.com/usnistgov/atomgpt/blob/main/LICENSE.rst,"['generative', 'pretrained', 'transformer']",usnistgov/atomgpt,https://github.com/usnistgov/atomgpt,2023-07-17 02:20:53,2025-04-09 17:29:15.000000,2025-04-09 17:29:15,171.0,34.0,10.0,2.0,17.0,2.0,,53.0,2025-03-22 18:00:02.000,2024.11.30,4.0,6.0,atomgpt,,4.0,3.0,https://pypi.org/project/atomgpt,2025-03-22 17:58:23.000,1.0,317.0,317.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
159,benchmarking-gnns,,rep-learn,https://github.com/graphdeeplearning/benchmarking-gnns,Repository for benchmarking graph neural networks (JMLR 2023).,14,False,MIT,"['single-paper', 'benchmarking']",graphdeeplearning/benchmarking-gnns,https://github.com/graphdeeplearning/benchmarking-gnns,2020-03-03 03:42:50,2023-06-22 04:03:53.000000,2022-05-10 13:22:20,45.0,,452.0,58.0,20.0,7.0,63.0,2579.0,,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
160,SLICES and MatterGPT,,generative,https://github.com/xiaohang007/SLICES,"SLICES: An Invertible, Invariant, and String-based Crystal Representation [2023, Nature Communications] MatterGPT,..",14,True,LGPL-2.1,"['rep-eng', 'language-models', 'transformer', 'materials-discovery', 'structure-prediction']",xiaohang007/SLICES,https://github.com/xiaohang007/SLICES,2023-04-27 04:01:11,2025-03-26 20:45:54.000000,2025-03-26 20:45:50,239.0,7.0,43.0,2.0,1.0,4.0,12.0,100.0,2025-03-01 15:51:06.000,3.1.0,23.0,1.0,slices,,6.0,5.0,https://pypi.org/project/slices,2025-03-01 10:21:03.000,1.0,474.0,496.0,,,,2.0,xiaohang07/slices,https://hub.docker.com/r/xiaohang07/slices,2025-03-01 10:48:02.812954,1.0,543.0,,,,,,,,,,,,,,,,
161,NNPOps,,ml-iap,https://github.com/openmm/NNPOps,High-performance operations for neural network potentials.,14,True,MIT,"['md', 'lang-cpp']",openmm/NNPOps,https://github.com/openmm/NNPOps,2020-09-10 21:02:00,2025-03-25 16:02:02.922000,2025-02-28 16:35:54,97.0,2.0,20.0,6.0,68.0,22.0,35.0,93.0,2023-07-26 11:21:58.000,0.6,7.0,10.0,,conda-forge/nnpops,,,,,,,11332.0,https://anaconda.org/conda-forge/nnpops,2025-03-25 16:02:02.922,419309.0,2.0,,,,,,,,,,,,,,,,,,,,,
162,MLatom,,general-tool,https://github.com/dralgroup/mlatom,AI-enhanced computational chemistry.,14,True,MIT,"['uip', 'ml-iap', 'md', 'ml-dft', 'ml-esm', 'transfer-learning', 'active-learning', 'spectroscopy', 'structure-optimization']",dralgroup/mlatom,https://github.com/dralgroup/mlatom,2023-08-16 13:47:48,2025-03-26 10:27:00.000000,2025-03-26 10:27:00,89.0,2.0,11.0,3.0,31.0,1.0,5.0,78.0,2025-03-26 08:33:16.000,3.17.0,27.0,5.0,mlatom,,,,https://pypi.org/project/mlatom,2025-03-26 09:40:36.000,,1694.0,1694.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
163,HydraGNN,,rep-learn,https://github.com/ORNL/HydraGNN,Distributed PyTorch implementation of multi-headed graph convolutional neural networks.,14,True,BSD-3,,ORNL/HydraGNN,https://github.com/ORNL/HydraGNN,2021-05-28 03:32:03,2025-04-04 16:08:23.000000,2025-03-31 16:55:26,720.0,7.0,29.0,8.0,287.0,18.0,32.0,78.0,2023-11-10 15:25:43.000,3.0,2.0,16.0,,,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
164,Ultra-Fast Force Fields (UF3),,ml-iap,https://github.com/uf3/uf3,UF3: a python library for generating ultra-fast interatomic potentials.,14,True,Apache-2.0,,uf3/uf3,https://github.com/uf3/uf3,2021-10-01 13:21:44,2024-10-10 19:03:09.000000,2024-10-04 15:08:06,731.0,,23.0,7.0,84.0,19.0,32.0,64.0,2023-10-27 16:37:16.000,0.4.0,4.0,10.0,uf3,,2.0,2.0,https://pypi.org/project/uf3,2023-10-27 16:37:16.000,,97.0,97.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
165,aviary,,materials-discovery,https://github.com/CompRhys/aviary,The Wren sits on its Roost in the Aviary.,14,True,MIT,,CompRhys/aviary,https://github.com/CompRhys/aviary,2021-09-28 12:29:05,2025-04-07 22:01:47.000000,2025-04-07 22:01:46,652.0,6.0,13.0,3.0,71.0,4.0,29.0,53.0,2025-03-29 02:34:40.000,1.1.2,7.0,6.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
166,DP-GEN2,,active-learning,https://github.com/deepmodeling/dpgen2,2nd generation of the Deep Potential GENerator.,14,True,LGPL-3.0,"['ml-iap', 'md', 'workflows']",deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,2022-02-28 02:41:16,2025-04-07 04:50:07.000000,2025-04-07 04:50:07,331.0,3.0,28.0,7.0,246.0,12.0,23.0,38.0,2023-01-28 03:43:25.000,0.0.7,7.0,14.0,,,6.0,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
167,xtal2png,,rep-learn,https://github.com/sparks-baird/xtal2png,Encode/decode a crystal structure to/from a grayscale PNG image for direct use with image-based machine learning..,14,False,MIT,['computer-vision'],sparks-baird/xtal2png,https://github.com/sparks-baird/xtal2png,2022-05-20 19:01:34,2023-10-04 00:53:43.000000,2023-07-01 05:57:28,771.0,,3.0,3.0,148.0,26.0,39.0,37.0,2023-02-04 01:27:08.864,0.6.1,24.0,6.0,xtal2png,,,,https://pypi.org/project/xtal2png,2022-06-23 04:45:54.000,,626.0,626.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
168,SALTED,,ml-dft,https://github.com/andreagrisafi/SALTED,Symmetry-Adapted Learning of Three-dimensional Electron Densities (and their electrostatic response).,14,True,GPL-3.0,,andreagrisafi/SALTED,https://github.com/andreagrisafi/SALTED,2020-01-22 10:24:29,2025-03-23 23:09:27.000000,2025-03-11 15:44:23,780.0,28.0,4.0,4.0,52.0,1.0,6.0,35.0,2025-03-11 16:23:45.000,3.0.2,4.0,25.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
169,OpenKIM,,datasets,https://openkim.org/,"The Open Knowledgebase of Interatomic Models (OpenKIM) aims to be an online resource for standardized testing, long-..",14,True,LGPL-2.1,"['model-repository', 'knowledge-base', 'pretrained']",openkim/kim-api,https://github.com/openkim/kim-api,2014-07-28 21:21:08,2025-03-31 17:46:07.000000,2025-03-13 01:53:42,2405.0,31.0,21.0,9.0,59.0,16.0,21.0,32.0,,,,27.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
