,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,docs_url,ignore
59,CHGNet,,uip,https://github.com/CederGroupHub/chgnet/blob/main/LICENSE,https://github.com/CederGroupHub/chgnet,Pretrained universal neural network potential for charge-informed atomistic modeling https://chgnet.lbl.gov.,23,True,"['ml-iap', 'md', 'pretrained', 'electrostatics', 'magnetism', 'structure-relaxation']",CederGroupHub/chgnet,https://github.com/CederGroupHub/chgnet,2023-02-24 23:44:24,2024-10-16 10:11:18.000000,2024-10-16 10:11:18,427.0,18.0,63.0,6.0,98.0,3.0,56.0,237.0,2024-09-16 22:18:58.000,0.4.0,17.0,10.0,chgnet,,57.0,36.0,https://pypi.org/project/chgnet,2024-09-16 22:18:58.000,21.0,36499.0,36499.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
60,MACE,,ml-iap,MIT,https://github.com/ACEsuit/mace,MACE - Fast and accurate machine learning interatomic potentials with higher order equivariant message passing.,22,True,,ACEsuit/mace,https://github.com/ACEsuit/mace,2022-06-21 18:44:34,2024-10-17 11:30:30.000000,2024-10-10 16:32:53,905.0,137.0,187.0,25.0,246.0,60.0,212.0,501.0,2024-10-02 18:02:28.000,0.3.7,8.0,42.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
61,TorchMD-NET,,ml-iap,MIT,https://github.com/torchmd/torchmd-net,Training neural network potentials.,22,True,"['md', 'rep-learn', 'transformer', 'pretrained']",torchmd/torchmd-net,https://github.com/torchmd/torchmd-net,2021-04-09 16:16:32,2024-09-12 06:52:04.422000,2024-08-28 14:56:04,1287.0,18.0,71.0,10.0,231.0,34.0,84.0,328.0,2024-08-29 06:54:59.000,2.4.1,27.0,16.0,,conda-forge/torchmd-net,,,,,,,15907.0,https://anaconda.org/conda-forge/torchmd-net,2024-09-12 06:52:04.422,190887.0,1.0,,,,,,,,,,,,,,,,,,,,,
62,DP-GEN,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,22,True,['workflows'],deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2024-10-08 00:47:54.000000,2024-04-10 06:31:36,2083.0,,172.0,13.0,848.0,36.0,264.0,301.0,2024-04-10 06:37:54.000,0.12.1,18.0,64.0,dpgen,deepmodeling/dpgen,8.0,7.0,https://pypi.org/project/dpgen,2024-04-10 06:37:54.000,1.0,1369.0,1404.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,208.0,1.0,,,,,,1798.0,,,,,,,,,,,,,,,
63,FLARE,,active-learning,MIT,https://github.com/mir-group/flare,An open-source Python package for creating fast and accurate interatomic potentials.,22,True,"['lang-cpp', 'ml-iap']",mir-group/flare,https://github.com/mir-group/flare,2018-08-30 23:40:56,2024-10-12 04:39:53.000000,2024-10-12 04:39:53,4564.0,69.0,67.0,21.0,198.0,36.0,180.0,290.0,2024-03-25 15:48:12.000,1.3.0,6.0,42.0,,,12.0,12.0,,,,,0.0,,,,1.0,,,,,,8.0,,,,,,,,,,,,,,,
64,ALIGNN,,rep-learn,https://github.com/usnistgov/alignn/blob/main/LICENSE.rst,https://github.com/usnistgov/alignn,Atomistic Line Graph Neural Network https://scholar.google.com/citations?user=9Q-tNnwAAAAJ&hl=en.,22,True,,usnistgov/alignn,https://github.com/usnistgov/alignn,2021-04-19 20:08:09,2024-09-09 21:38:54.000000,2024-09-09 21:38:06,717.0,10.0,79.0,11.0,109.0,40.0,25.0,225.0,2024-09-09 21:38:54.000,2024.8.30,48.0,7.0,alignn,,21.0,15.0,https://pypi.org/project/alignn,2024-09-09 21:37:57.000,6.0,12008.0,12008.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
65,e3nn-jax,,rep-learn,Apache-2.0,https://github.com/e3nn/e3nn-jax,jax library for E3 Equivariant Neural Networks.,22,True,,e3nn/e3nn-jax,https://github.com/e3nn/e3nn-jax,2021-06-08 13:21:51,2024-09-28 21:53:27.000000,2024-09-28 21:53:25,1004.0,18.0,18.0,12.0,48.0,2.0,21.0,178.0,2024-08-14 05:14:56.000,0.20.7,43.0,7.0,e3nn-jax,,54.0,41.0,https://pypi.org/project/e3nn-jax,2024-08-14 05:15:15.000,13.0,5734.0,5734.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
66,pymatviz,,visualization,MIT,https://github.com/janosh/pymatviz,A toolkit for visualizations in materials informatics.,22,True,"['general-tool', 'probabilistic']",janosh/pymatviz,https://github.com/janosh/pymatviz,2021-02-21 12:40:34,2024-10-16 21:53:23.000000,2024-10-16 21:53:22,361.0,47.0,15.0,7.0,184.0,14.0,37.0,160.0,2024-10-07 20:15:15.000,0.12.0,29.0,9.0,pymatviz,,11.0,9.0,https://pypi.org/project/pymatviz,2024-10-07 20:15:15.000,2.0,4469.0,4469.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
67,NVIDIA Deep Learning Examples for Tensor Cores,,rep-learn,https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,https://github.com/NVIDIA/DeepLearningExamples#graph-neural-networks,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,21,True,"['educational', 'drug-discovery']",NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2024-08-12 14:01:29.000000,2024-04-04 13:37:56,1437.0,,3199.0,296.0,540.0,341.0,570.0,13386.0,,,,115.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
68,DIG: Dive into Graphs,,rep-learn,GPL-3.0,https://github.com/divelab/DIG,A library for graph deep learning research.,21,True,,divelab/DIG,https://github.com/divelab/DIG,2020-10-30 03:51:15,2024-07-15 07:18:56.000000,2024-02-04 20:37:53,1083.0,,281.0,31.0,41.0,34.0,176.0,1863.0,2023-04-07 20:33:15.000,1.1.0,10.0,50.0,dive-into-graphs,,,,https://pypi.org/project/dive-into-graphs,2022-06-27 05:08:24.000,,1292.0,1292.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
69,FAIR Chemistry datasets,,datasets,MIT,https://github.com/FAIR-Chem/fairchem,"Datasets OC20, OC22, etc. Formerly known as Open Catalyst Project.",21,True,['catalysis'],FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2024-10-17 17:09:22.000000,2024-10-14 17:55:08,862.0,63.0,244.0,24.0,671.0,31.0,195.0,780.0,2024-09-14 00:47:10.000,fairchem_core-1.2.0,11.0,42.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
70,GPUMD,,ml-iap,GPL-3.0,https://github.com/brucefan1983/GPUMD,GPUMD is a highly efficient general-purpose molecular dynamic (MD) package and enables machine-learned potentials..,21,True,"['md', 'lang-cpp', 'electrostatics']",brucefan1983/GPUMD,https://github.com/brucefan1983/GPUMD,2017-07-14 15:32:56,2024-10-16 20:16:24.000000,2024-10-16 20:16:21,4060.0,173.0,116.0,26.0,556.0,17.0,166.0,461.0,2024-08-18 13:16:02.000,3.9.5,42.0,34.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
71,DeepQMC,,ml-wft,MIT,https://github.com/deepqmc/deepqmc,Deep learning quantum Monte Carlo for electrons in real space.,21,True,,deepqmc/deepqmc,https://github.com/deepqmc/deepqmc,2019-12-06 14:50:59,2024-09-24 11:12:20.000000,2024-09-24 11:10:06,1465.0,5.0,60.0,22.0,161.0,3.0,43.0,349.0,2024-09-24 11:12:20.000,1.2.0,12.0,13.0,deepqmc,,3.0,3.0,https://pypi.org/project/deepqmc,2024-09-24 11:12:20.000,,880.0,880.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
72,mlcolvar,,md,MIT,https://github.com/luigibonati/mlcolvar,A unified framework for machine learning collective variables for enhanced sampling simulations.,21,True,['sampling'],luigibonati/mlcolvar,https://github.com/luigibonati/mlcolvar,2021-09-21 21:32:04,2024-10-09 10:22:29.000000,2024-10-09 10:22:26,1138.0,49.0,24.0,7.0,85.0,13.0,61.0,89.0,2024-06-12 17:08:54.000,1.1.1,10.0,8.0,mlcolvar,,3.0,3.0,https://pypi.org/project/mlcolvar,2024-06-12 17:08:54.000,,370.0,370.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,
73,Metatensor,,data-structures,BSD-3-Clause,https://github.com/metatensor/metatensor,Self-describing sparse tensor data format for atomistic machine learning and beyond.,21,True,"['lang-rust', 'lang-c', 'lang-cpp', 'lang-py']",lab-cosmo/metatensor,https://github.com/metatensor/metatensor,2022-03-01 15:58:28,2024-10-16 12:00:47.000000,2024-10-11 15:43:34,811.0,48.0,16.0,18.0,541.0,73.0,138.0,52.0,2024-10-14 08:58:15.000,metatensor-operations-v0.2.4,44.0,22.0,,,13.0,13.0,,,,,2355.0,,,,2.0,,,,,,28269.0,metatensor/metatensor,,,,,,,,,,,,,,
74,DM21,,ml-dft,Apache-2.0,https://github.com/google-deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,20,False,,google-deepmind/deepmind-research,https://github.com/google-deepmind/deepmind-research,2019-01-15 09:54:13,2024-08-30 23:52:15.000000,2023-06-02 17:04:50,369.0,,2586.0,325.0,237.0,266.0,139.0,13141.0,,,,92.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
75,FitSNAP,,md,GPL-2.0,https://github.com/FitSNAP/FitSNAP,Software for generating machine-learning interatomic potentials for LAMMPS.,20,True,,FitSNAP/FitSNAP,https://github.com/FitSNAP/FitSNAP,2019-09-12 14:46:18,2024-09-19 15:26:23.000000,2024-09-19 15:26:23,1399.0,15.0,50.0,7.0,184.0,16.0,57.0,149.0,2023-06-28 16:00:48.000,3.1.0,7.0,24.0,,conda-forge/fitsnap3,3.0,3.0,,,,,186.0,https://anaconda.org/conda-forge/fitsnap3,2023-06-16 00:19:04.615,8760.0,2.0,,,,,,11.0,,2.0,,,,,,,,,,,,,
76,DADApy,,unsupervised,Apache-2.0,https://github.com/sissa-data-science/DADApy,Distance-based Analysis of DAta-manifolds in python.,20,True,,sissa-data-science/DADApy,https://github.com/sissa-data-science/DADApy,2021-02-16 17:45:23,2024-09-24 09:05:59.000000,2024-09-16 13:39:30,873.0,49.0,18.0,7.0,112.0,9.0,27.0,105.0,2024-07-02 15:52:45.000,0.3.1,6.0,20.0,dadapy,,10.0,10.0,https://pypi.org/project/dadapy,2024-07-02 15:49:35.000,,440.0,440.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
77,MAST-ML,,general-tool,MIT,https://github.com/uw-cmg/MAST-ML,MAterials Simulation Toolkit for Machine Learning (MAST-ML).,20,True,,uw-cmg/MAST-ML,https://github.com/uw-cmg/MAST-ML,2017-02-16 17:03:57,2024-10-09 01:19:32.000000,2024-10-09 01:19:32,3312.0,16.0,59.0,14.0,37.0,32.0,191.0,104.0,2024-09-27 21:44:25.000,3.2.1,8.0,19.0,,,44.0,44.0,,,,,2.0,,,,2.0,,,,,,122.0,,,,,,,,,,,,,,,
78,ZnDraw,,visualization,EPL-2.0,https://github.com/zincware/ZnDraw,"A powerful tool for visualizing, modifying, and analysing atomistic systems.",20,True,"['md', 'generative', 'lang-js']",zincware/ZnDraw,https://github.com/zincware/ZnDraw,2023-04-12 15:01:21,2024-10-12 09:23:08.000000,2024-10-12 09:23:06,396.0,69.0,3.0,1.0,357.0,90.0,218.0,30.0,2024-08-26 14:32:18.000,0.4.7,56.0,7.0,zndraw,,8.0,6.0,https://pypi.org/project/zndraw,2024-08-26 14:33:31.000,2.0,2820.0,2820.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
79,Graph-based Deep Learning Literature,,community,MIT,https://github.com/naganandy/graph-based-deep-learning-literature,links to conference publications in graph-based deep learning.,19,True,"['general-ml', 'rep-learn']",naganandy/graph-based-deep-learning-literature,https://github.com/naganandy/graph-based-deep-learning-literature,2017-12-01 14:48:35,2024-10-09 14:53:41.000000,2024-10-09 14:53:38,7733.0,53.0,774.0,252.0,21.0,,14.0,4770.0,,,,12.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
80,fairchem,,ml-iap,,https://github.com/FAIR-Chem/fairchem,FAIR Chemistrys library of machine learning methods for chemistry. Formerly known as Open Catalyst Project (ocp).,19,True,"['pretrained', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2024-10-17 17:09:22.000000,2024-10-14 17:55:08,862.0,63.0,244.0,24.0,671.0,31.0,195.0,780.0,2024-09-14 00:47:10.000,fairchem_core-1.2.0,11.0,42.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
81,ATOM3D,,datasets,MIT,https://github.com/drorlab/atom3d,ATOM3D: tasks on molecules in three dimensions.,19,False,"['biomolecules', 'benchmarking']",drorlab/atom3d,https://github.com/drorlab/atom3d,2020-04-03 22:53:11,2023-03-02 18:21:02.000000,2023-03-02 18:20:29,798.0,,35.0,17.0,6.0,21.0,40.0,301.0,2022-07-20 00:58:03.115,0.2.6,15.0,10.0,atom3d,,42.0,42.0,https://pypi.org/project/atom3d,2022-07-20 00:58:03.115,,2745.0,2745.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
82,exmol,,xai,MIT,https://github.com/ur-whitelab/exmol,Explainer for black box models that predict molecule properties.,19,True,,ur-whitelab/exmol,https://github.com/ur-whitelab/exmol,2021-08-03 17:56:06,2024-06-02 00:38:18.000000,2023-12-04 18:03:57,189.0,,41.0,8.0,77.0,11.0,58.0,283.0,2023-06-19 20:58:01.262,3.0.3,27.0,7.0,exmol,,22.0,21.0,https://pypi.org/project/exmol,2022-06-03 18:52:10.000,1.0,2269.0,2269.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
83,KFAC-JAX,,math,Apache-2.0,https://github.com/google-deepmind/kfac-jax,Second Order Optimization and Curvature Estimation with K-FAC in JAX.,19,True,,google-deepmind/kfac-jax,https://github.com/google-deepmind/kfac-jax,2022-03-18 10:19:24,2024-10-17 15:59:05.000000,2024-10-16 12:34:24,238.0,24.0,20.0,11.0,258.0,9.0,10.0,242.0,2024-04-04 10:59:13.000,0.0.6,5.0,15.0,kfac-jax,,12.0,11.0,https://pypi.org/project/kfac-jax,2024-04-04 10:59:13.000,1.0,1118.0,1118.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
84,kgcnn,,rep-learn,MIT,https://github.com/aimat-lab/gcnn_keras,"Graph convolutions in Keras with TensorFlow, PyTorch or Jax.",19,True,,aimat-lab/gcnn_keras,https://github.com/aimat-lab/gcnn_keras,2020-07-17 11:12:46,2024-05-06 10:08:41.000000,2024-05-06 10:08:14,3099.0,,30.0,7.0,30.0,12.0,74.0,108.0,2024-02-27 12:33:28.000,4.0.1,28.0,7.0,kgcnn,,22.0,19.0,https://pypi.org/project/kgcnn,2024-02-27 12:33:28.000,3.0,1755.0,1755.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
85,MatBench Discovery,,community,MIT,https://github.com/janosh/matbench-discovery,An evaluation framework for machine learning models simulating high-throughput materials discovery.,19,True,"['datasets', 'benchmarking', 'model-repository']",janosh/matbench-discovery,https://github.com/janosh/matbench-discovery,2022-06-20 18:32:44,2024-10-15 18:23:14.000000,2024-10-15 18:22:48,382.0,33.0,13.0,8.0,95.0,4.0,35.0,94.0,2024-09-11 19:00:12.000,1.3.1,10.0,8.0,matbench-discovery,,3.0,3.0,https://pypi.org/project/matbench-discovery,2024-09-11 19:00:12.000,,1891.0,1891.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
86,MALA,,ml-dft,BSD-3-Clause,https://github.com/mala-project/mala,Materials Learning Algorithms. A framework for machine learning materials properties from first-principles data.,19,True,,mala-project/mala,https://github.com/mala-project/mala,2021-03-31 11:40:38,2024-10-14 14:59:43.000000,2024-10-14 14:58:52,2356.0,48.0,24.0,9.0,310.0,39.0,236.0,81.0,2024-02-01 08:57:56.000,1.2.1,9.0,44.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
87,apax,,ml-iap,MIT,https://github.com/apax-hub/apax,A flexible and performant framework for training machine learning potentials.,19,True,,apax-hub/apax,https://github.com/apax-hub/apax,2022-11-18 12:31:19,2024-10-17 12:46:35.000000,2024-10-17 12:45:00,1843.0,276.0,2.0,4.0,232.0,13.0,110.0,15.0,2024-09-17 10:55:44.000,0.7.0,7.0,7.0,apax,,3.0,3.0,https://pypi.org/project/apax,2024-09-17 10:55:44.000,,1004.0,1004.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
88,Uni-Mol,,rep-learn,MIT,https://github.com/deepmodeling/Uni-Mol,Official Repository for the Uni-Mol Series Methods.,18,True,['pretrained'],deepmodeling/Uni-Mol,https://github.com/deepmodeling/Uni-Mol,2022-05-22 13:26:41,2024-10-16 09:08:13.000000,2024-09-26 03:45:38,138.0,10.0,121.0,16.0,116.0,67.0,95.0,688.0,2024-07-06 07:05:10.000,0.2.1,3.0,17.0,,,,,,,,,642.0,,,,2.0,,,,,,15414.0,,,,,,,,,,,,,,,
89,MACE-MP,,uip,MIT,https://github.com/ACEsuit/mace-mp,Pretrained foundation models for materials chemistry.,18,True,"['ml-iap', 'pretrained', 'rep-learn', 'md']",ACEsuit/mace-mp,https://github.com/ACEsuit/mace-mp,2024-01-11 10:55:55,2024-07-16 11:55:19.000000,2024-04-24 14:56:12,10.0,,187.0,11.0,1.0,1.0,9.0,497.0,2024-07-16 11:55:19.000,0.3.6,4.0,2.0,mace-torch,,14.0,,https://pypi.org/project/mace-torch,2024-07-16 11:55:19.000,14.0,13862.0,17211.0,,,,2.0,,,,,,30146.0,,,,,,,,,,,,,,,
90,GT4SD,,generative,MIT,https://github.com/GT4SD/gt4sd-core,"GT4SD, an open-source library to accelerate hypothesis generation in the scientific discovery process.",18,True,"['pretrained', 'drug-discovery', 'rep-learn']",GT4SD/gt4sd-core,https://github.com/GT4SD/gt4sd-core,2022-02-11 19:06:58,2024-09-12 14:04:43.000000,2024-09-12 13:43:18,298.0,2.0,69.0,17.0,150.0,14.0,98.0,336.0,2024-06-13 15:18:45.000,1.4.1,86.0,20.0,gt4sd,,,,https://pypi.org/project/gt4sd,2024-09-12 13:44:36.000,,4865.0,4865.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
91,M3GNet,,uip,BSD-3-Clause,https://github.com/materialsvirtuallab/m3gnet,Materials graph network with 3-body interactions featuring a DFT surrogate crystal relaxer and a state-of-the-art..,18,True,"['ml-iap', 'pretrained']",materialsvirtuallab/m3gnet,https://github.com/materialsvirtuallab/m3gnet,2022-01-18 18:10:58,2024-10-07 23:34:28.000000,2024-10-04 19:40:10,263.0,2.0,60.0,11.0,37.0,15.0,20.0,235.0,2022-11-17 23:25:35.000,0.2.4,16.0,16.0,m3gnet,,32.0,27.0,https://pypi.org/project/m3gnet,2022-11-17 23:25:34.805,5.0,2489.0,2489.0,,,,2.0,,,,,,,,-1.0,,,,,,,,,,,,,
92,gpax,,math,MIT,https://github.com/ziatdinovmax/gpax,Gaussian Processes for Experimental Sciences.,18,True,"['probabilistic', 'active-learning']",ziatdinovmax/gpax,https://github.com/ziatdinovmax/gpax,2021-10-28 13:43:18,2024-08-09 21:37:33.000000,2024-05-21 08:13:54,787.0,,25.0,7.0,69.0,8.0,32.0,205.0,2024-03-20 06:39:54.000,0.1.8,16.0,6.0,gpax,,3.0,3.0,https://pypi.org/project/gpax,2024-03-20 06:39:54.000,,810.0,810.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
93,OpenBioML ChemNLP,,language-models,MIT,https://github.com/OpenBioML/chemnlp,ChemNLP project.,18,True,['datasets'],OpenBioML/chemnlp,https://github.com/OpenBioML/chemnlp,2023-02-13 16:20:23,2024-10-14 17:36:09.000000,2024-08-19 19:00:21,372.0,41.0,46.0,3.0,285.0,111.0,140.0,148.0,2023-08-07 12:49:57.000,2023.7.1,6.0,27.0,chemnlp,,1.0,,https://pypi.org/project/chemnlp,2023-08-07 12:49:57.000,1.0,417.0,417.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
94,Chemiscope,,visualization,BSD-3-Clause,https://github.com/lab-cosmo/chemiscope,An interactive structure/property explorer for materials and molecules.,18,True,['lang-js'],lab-cosmo/chemiscope,https://github.com/lab-cosmo/chemiscope,2019-10-03 09:59:42,2024-10-17 06:35:15.000000,2024-10-15 13:08:13,755.0,29.0,32.0,19.0,254.0,36.0,94.0,132.0,2024-10-15 13:11:45.000,0.8.2,21.0,23.0,,,9.0,6.0,,,,,14.0,,,,3.0,,,,,,331.0,,,,,,,chemiscope,https://www.npmjs.com/package/chemiscope,2023-03-15 15:39:26.701,3.0,9.0,,,,
95,MatBench,,community,MIT,https://github.com/materialsproject/matbench,Matbench: Benchmarks for materials science property prediction.,18,True,"['datasets', 'benchmarking', 'model-repository']",materialsproject/matbench,https://github.com/materialsproject/matbench,2021-02-24 03:58:42,2024-08-20 17:26:52.000000,2024-01-20 09:41:36,772.0,,46.0,8.0,299.0,39.0,26.0,116.0,2022-07-27 04:40:26.000,0.6,5.0,25.0,matbench,,19.0,17.0,https://pypi.org/project/matbench,2022-07-27 04:44:21.961,2.0,631.0,631.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
96,Open Databases Integration for Materials Design (OPTIMADE),,datasets,CC-BY-4.0,https://github.com/Materials-Consortia/OPTIMADE,Specification of a common REST API for access to materials databases.,18,True,,Materials-Consortia/OPTIMADE,https://github.com/Materials-Consortia/OPTIMADE,2018-01-08 23:32:29,2024-08-28 09:04:20.000000,2024-06-12 09:31:09,1786.0,,35.0,21.0,297.0,68.0,169.0,82.0,2024-06-10 16:32:29.000,1.2.0,9.0,21.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
97,Scikit-Matter,,general-tool,BSD-3-Clause,https://github.com/scikit-learn-contrib/scikit-matter,A collection of scikit-learn compatible utilities that implement methods born out of the materials science and..,18,True,['scikit-learn'],scikit-learn-contrib/scikit-matter,https://github.com/scikit-learn-contrib/scikit-matter,2020-10-12 19:23:26,2024-10-09 12:01:55.000000,2024-10-09 12:01:55,387.0,5.0,20.0,17.0,162.0,14.0,56.0,76.0,2023-08-24 17:18:49.000,0.2.0,7.0,15.0,skmatter,conda-forge/skmatter,11.0,11.0,https://pypi.org/project/skmatter,2023-08-24 17:18:19.000,,3146.0,3265.0,https://anaconda.org/conda-forge/skmatter,2023-08-24 19:08:29.551,2275.0,2.0,,,,,,,,,,,,,,,,,,,,,
98,SpheriCart,,math,MIT,https://github.com/lab-cosmo/sphericart,Multi-language library for the calculation of spherical harmonics in Cartesian coordinates.,18,True,,lab-cosmo/sphericart,https://github.com/lab-cosmo/sphericart,2023-02-04 15:15:25,2024-10-16 15:36:48.000000,2024-10-11 13:46:56,381.0,18.0,11.0,5.0,117.0,23.0,18.0,71.0,2024-09-04 06:56:55.000,0.5.0,11.0,10.0,sphericart,,5.0,5.0,https://pypi.org/project/sphericart,2024-09-04 06:56:55.000,,1314.0,1318.0,,,,1.0,,,,,,87.0,,,,,,,,,,,,,,,
99,OpenML,,community,BSD-3,https://github.com/openml/OpenML,Open Machine Learning.,17,True,['datasets'],openml/OpenML,https://github.com/openml/OpenML,2012-12-11 11:27:40,2024-10-17 06:48:46.000000,2024-09-08 12:35:46,2320.0,3.0,90.0,48.0,204.0,367.0,560.0,664.0,,,,35.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
100,escnn,,rep-learn,https://github.com/QUVA-Lab/escnn/blob/master/LICENSE,https://github.com/QUVA-Lab/escnn,Equivariant Steerable CNNs Library for Pytorch https://quva-lab.github.io/escnn/.,17,True,,QUVA-Lab/escnn,https://github.com/QUVA-Lab/escnn,2022-03-16 10:15:02,2024-09-18 09:29:54.000000,2024-09-18 09:29:54,246.0,2.0,44.0,19.0,33.0,38.0,37.0,353.0,2023-07-17 22:58:13.120,1.0.11,16.0,10.0,escnn,,6.0,,https://pypi.org/project/escnn,2022-04-01 11:46:00.000,6.0,1725.0,1725.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
101,QML,,general-tool,MIT,https://github.com/qmlcode/qml,QML: Quantum Machine Learning.,17,False,,qmlcode/qml,https://github.com/qmlcode/qml,2017-04-22 04:48:38,2024-04-12 13:38:21.000000,2018-09-10 11:14:35,75.0,,81.0,23.0,101.0,31.0,19.0,199.0,2018-03-02 11:36:41.000,0.4.0,34.0,2.0,qml,,32.0,32.0,https://pypi.org/project/qml,2018-08-13 10:37:42.000,,1131.0,1131.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
102,matsciml,,rep-learn,MIT,https://github.com/IntelLabs/matsciml,Open MatSci ML Toolkit is a framework for prototyping and scaling out deep learning models for materials discovery..,17,True,"['workflows', 'benchmarking']",IntelLabs/matsciml,https://github.com/IntelLabs/matsciml,2022-09-13 20:27:28,2024-10-15 20:47:52.000000,2024-10-15 20:47:52,2547.0,232.0,19.0,5.0,243.0,20.0,41.0,144.0,2023-08-31 23:59:40.000,1.0.0,2.0,12.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
103,sGDML,,ml-iap,MIT,https://github.com/stefanch/sGDML,sGDML - Reference implementation of the Symmetric Gradient Domain Machine Learning model.,17,False,,stefanch/sGDML,https://github.com/stefanch/sGDML,2018-07-11 15:20:30,2023-08-31 12:59:32.000000,2023-08-31 12:57:53,205.0,,36.0,8.0,12.0,11.0,11.0,141.0,2023-08-31 12:58:49.000,1.0.2,21.0,8.0,sgdml,,11.0,10.0,https://pypi.org/project/sgdml,2023-08-31 12:59:32.000,1.0,1156.0,1156.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
104,CatLearn,,rep-eng,GPL-3.0,https://github.com/SUNCAT-Center/CatLearn,,17,False,['surface-science'],SUNCAT-Center/CatLearn,https://github.com/SUNCAT-Center/CatLearn,2018-04-20 04:16:14,2024-06-28 07:53:45.000000,2023-02-07 09:31:25,1960.0,,57.0,19.0,80.0,10.0,17.0,101.0,2020-03-27 09:27:26.000,0.6.2,27.0,22.0,catlearn,,7.0,6.0,https://pypi.org/project/catlearn,2020-03-27 09:27:26.000,1.0,1354.0,1354.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
105,MODNet,,rep-eng,MIT,https://github.com/ppdebreuck/modnet,MODNet: a framework for machine learning materials properties.,17,True,"['pretrained', 'small-data', 'transfer-learning']",ppdebreuck/modnet,https://github.com/ppdebreuck/modnet,2020-03-13 07:39:21,2024-09-24 09:57:16.000000,2024-09-24 09:57:16,282.0,5.0,32.0,7.0,176.0,26.0,27.0,78.0,2024-05-07 14:09:13.000,0.4.4,21.0,10.0,,,10.0,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
